Real;Pronostic
0,04771703;1504
0,09602195;1129
0,196747;56669
0,3068783;205883
0,366941;342000
0,5;505722
0,7400602;685570
0,8772331;778841
0,9762707;866034
0;3072
0,07321937;82351
0,1735577;187981
0,4060719;361064
0,5874341;582571
0,7914802;771288
0,8855007;847969
0,9591247;928843
1;965917
0;-1477
0,007826279;8609
0,1755952;117419
0,2945326;216906
0,4095018;360630
0,5790502;550410
0,6683506;700237
0,8477443;835615
0,978266;954106
1,006476;973417
1;967305
0;586
0,03938352;106782
0,2074456;296861
0,3110438;383010
0,4123869;520409
0,5;595030
0,5945408;728881
0,8297511;853223
0,9940715;959004
1;959436
0;443
0,07173981;94534
0,1743698;228560
0,4092748;340883
0,5;516159
0,57921;620729
0,7614397;803094
0,8492063;888965
0,9245722;944558
1;964795
0;-1891
0,005415013;4774
0,1729911;127658
0,2929894;235172
0,4090195;363765
0,5;432025
0,6683506;659060
0,8477443;833663
0,9228589;921940
0,978266;976119
1;966532
0;-41
0,1165769;109468
0,2536154;228640
0,3937692;323610
0,5;392973
0,6745319;599789
0,8532389;806720
0,9267222;895548
0,9803264;963409
1,007077;964705
1;957255
0;-1423
0,04162617;47898
0,117104;134017
0,212828;270062
0,4164237;451996
0,5;554341
0,7883725;815719
0,8844966;931212
0,9600412;966754
1;956915
0,03509976;31162
0,1999657;205386
0,3038358;331445
0,4074773;417028
0,5;548983
0,8851765;798929
0,9801568;908153
1;951507
0;-1454
0,043118;12257
0,1185361;86352
0,3172472;177644
0,4166027;352550
0,5837764;571910
0,7883725;781410
0,8844966;874948
1,002658;979877
1;982133
0;-696
0,03771618;1741
0,1114666;43452
0,2062451;109906
0,4121869;297760
0,5;411256
0,7103513;656727
0,8285257;738492
0,9292498;859576
0,9929368;918593
0;-1641
0,009066358;2088
0,07716049;43296
0,1822917;125618
0,3024691;236113
0,5669934;526483
0,640421;684083
0,716454;798938
0,8610197;928987
0,9218947;973133
1,001684;961388
1;899547
0;-1292
0,002314815;11419
0,1625;178125
0,400463;334429
0,5;466428
0,7153996;679532
0,8322368;808199
0,9928119;948101
0;-1418
0,008078422;15154
0,092;79956
0,304;255672
0,408;380263
0,5;458666
0,6949005;665753
0,7977597;779322
0,9617411;913585
1,001841;947322
1;974387
0;-1725
0,1666667;192265
0,2839506;322093
0,5;504238
0,5985624;645020
0,7153996;788306
0,9307992;931453
0,9928119;977709
1;982232
0;842
0,1968326;145271
0,3730911;247286
0,6652644;487895
0,7497376;690487
0,8294625;804557
0,9567401;949454
1,011243;970843
1;950238
0;-2057
0,03995884;31403
0,1155033;115520
0,2116275;218652
0,4162236;397137
0,5;544568
0,5837764;645706
0,6840165;742659
0,7883725;844594
0,9600412;962662
1;954002
0;-1939
-0,003331003;2894
0,03771618;40180
0,2062451;158048
0,4121869;252183
0,5;376756
0,7097016;510940
0,8274292;688547
0,9279502;909850
0,9919216;952130
1;948574
0;882
0,02088889;38790
0,2506667;152214
0,3902222;351205
0,5923226;537374
0,6954973;654950
0,8916424;821597
0,9632329;920605
1,002916;963419
1;977819
0;-2361
0,06929781;55117
0,1702489;142314
0,4054592;342814
0,5;463082
0,6889561;688560
0,8869328;834643
0,9606165;941320
1,002131;974552
0;-1414
-0,000874636;-1753
0,04356981;7685
0,3215096;199774
0,4199223;363017
0,5;493267
0,6635417;680364
0,7558594;802119
0,9212239;946749
1,007075;975123
1;965830
0;-1144
0,03771618;10402
0,2062451;170941
0,4121869;366654
0,5943139;584263
0,8285257;803349
1;971348
0;-628
0,07075024;65123
0,1714744;150435
0,4056861;361318
0,587613;562973
0,6889561;718780
0,7925544;797503
0,8869328;900108
1;976775
-0,001457726;3351
0,04162617;45215
0,117104;122506
0,4164237;390099
0,5;536098
0,6840165;719389
0,7883725;841275
0,8844966;918217
0,9600412;943105
1;962805
0;-2369
-0,007595486;-2218
0,02008929;8771
0,07542783;61328
0,1507937;139623
0,3311012;353907
0,4207899;452985
0,5;566463
0,7061936;764493
0,8256302;867095
0,9933084;980340
1;981855
0;-1906
0,03676709;13049
0,1083576;86674
0,2011662;187376
0,4076774;354573
0,5;494504
0,6103333;576166
0,751;695048
0,9813333;897391
0;-1512
0,02351974;-338
0,08048931;37059
0,1570175;109586
0,2451686;210156
0,4245957;383094
0,5;513727
0,6791574;712291
0,8809981;839885
1,002075;966458
1;964694
0;-1615
-0,007595486;-564
0,02008929;10490
0,3311012;334860
0,4207899;444627
0,5;580162
0,7061936;783942
0,8256302;861801
0,9933084;962072
1;965465
0;-2003
-0,001457726;-1609
0,117104;55673
0,3166505;258090
0,4164237;375167
0,5;474571
0,6833495;680944
0,882896;872302
1,001458;966720
1;973893
0;-1317
-0,001457726;-449
0,117104;100886
0,3166505;288145
0,4164237;383750
0,5;486041
0,6833495;713372
0,882896;905207
0,9583738;953786
1;961251
0;-1812
0,06929781;41105
0,1702489;127714
0,4054592;321040
0,5;454099
0,6883594;680868
0,7914802;838432
0,9591247;960433
1,001056;959008
1;976097
0,06453423;54508
0,1609848;151598
0,2772166;249790
0,5;433720
0,6148877;559599
0,8888128;772941
0,981369;900653
0;-1140
-0,001056409;94
0,04087535;11230
0,2085197;172704
0,3116406;292856
0,5;488210
0,7110776;706791
0,8297511;842384
0,9307022;927690
1;972047
0;-1507
0,1083576;58163
0,2011662;174895
0,3045028;276783
0,5;478605
0,6097777;606931
0,7493333;713608
0,9791111;879230
1;956227
0;-2015
0,07449178;57680
0,1766917;136272
0,4097048;325502
0,5;454983
0,6688988;660281
0,8492063;876090
0,9245722;933098
0,9799107;972621
1,007596;970662
1;954805
0;-1950
0,03771618;47336
0,1114666;113046
0,3103769;340258
0,5;526438
0,5945408;630725
0,8297511;824607
0,9940715;956235
1;962523
-0,007778235;133
0,01726974;8615
0,1403509;123721
0,2256373;242829
0,4118353;431370
0,5;522150
0,6305147;642836
0,9540441;846417
0;-73
0,04221798;2230
0,1157883;49268
0,2094864;146606
0,4127271;348534
0,5;469110
0,5943139;587775
0,8285257;799849
0,9292498;905938
0,9929368;952822
0;-878
-0,001056409;-1601
0,1144994;48432
0,2085197;162103
0,3116406;234294
0,4125659;362163
0,5;458389
0,7103513;651521
0,8285257;744640
0,9929368;916156
1;959783
0,00617284;-350
0,1666667;115413
0,4012346;302539
0,5;394805
0,7160494;600941
0,9320987;792793
0,9938272;904517
-0,001056409;-1981
0,04087535;5636
0,2085197;154541
0,4125659;378485
0,5;528786
0,5943139;598841
0,8285257;800436
0,9292498;916167
0,9929368;954031
1;966703
0;-655
0,06790123;53609
0,2839506;230201
0,4012346;361142
0,5989923;601296
0,7167756;711474
0,9335512;912763
0,9949619;964597
1;972812
0;-641
0,006691566;-1411
0,07173981;14960
0,2938064;167427
0,4092748;281020
0,5;389203
0,7604118;680950
0,8477443;806754
0,978266;947523
1;967241
0;-518
0,03676709;36732
0,2011662;218660
0,3045028;327047
0,4076774;387276
0,6097777;639120
0,884;869725
0,9791111;943633
1;952315
0;-210
0,06920078;60814
0,2846004;262338
0,4014376;380906
0,5987654;547738
0,8333333;748757
0,9938272;916860
1;962656
0;-1993
0,07075024;8041
0,1714744;63659
0,2896486;154987
0,6878224;533101
0,7905136;662359
0,957782;907216
1,00009;935447
1;964774
0;-1177
0,01967677;14834
0,2452121;187651
0,3853737;316946
0,6040264;500646
0,7227834;636978
0,9354658;810594
0,9948794;916077
-0,006770833;-2055
0,01875;10158
0,0703125;52595
0,2265625;249202
0,31875;377487
0,4119792;488250
0,5;597001
0,6308594;697169
0,9550781;879206
1;944438
0;-1296
0,1144994;59433
0,2085197;159433
0,3116406;262115
0,4125659;365776
0,5945408;590428
0,7110776;711101
0,8297511;809589
0,9940715;950783
1;958889
-0,009660983;-2364
0,008161865;-941
0,04867725;16917
0,1070939;70583
0,1786204;151482
0,3418381;339492
0,4239467;430594
0,5;547175
0,6024202;652676
0,7415462;755794
0,9782521;929519
1;954403
0;-2146
0,000709682;-7
0,326358;284601
0,4231625;395315
0,569273;603048
0,7314815;808896
0,8875172;946925
0,9921125;962757
1;935078
0;-1287
0,003205128;10887
0,4049145;105076
0,6883594;656125
1,001056;940183
1;962319
0;7055
0,07319224;85137
0,1755952;208119
0,4095018;359186
0,5;507325
0,5793888;588338
0,6695116;713413
0,7625886;824088
0,926487;959326
0,9817489;973504
1;959676
0;-1895
0,01619061;1773
0,06964967;33595
0,1436652;99423
0,4164045;361918
0,6059366;578665
0,8820996;785952
1;944825
-0,001056409;-1994
0,1144994;60700
0,2085197;187646
0,4125659;353119
0,5945408;579919
0,7110776;695356
0,9307022;889977
0,9940715;953356
0;-1427
0,07714109;31746
0,1522556;145083
0,5;539171
0,7070106;776309
0,9298942;944044
1;962767
0;-1030
0,2062451;87415
0,3103769;193493
0,4121869;296926
0,5;375863
0,9292498;746926
0;-2141
-0,001056409;-1885
0,04087535;2573
0,2085197;123788
0,4125659;335941
0,5941108;544087
0,7097016;663788
0,9279502;827947
0,9919216;925668
0,2094864;223333
0,3121776;338983
0,4127271;422114
0,5;534077
0,7110776;711066
0,9307022;893799
1;964263
