Joint;Altura;Profundidad
0;1,55724901;3,523197651
0;1,393587589;3,869427204
0;1,47188909;3,134810209
0;1,212836564;3,056416035
0;1,456509832;2,918025494
0;1,209611572;2,699881554
0;1,376837973;2,789801836
0;1,320481896;3,022604465
0;1,412266649;2,942198753
0;1,308479697;2,906455755
0;1,344171226;2,957277536
0;1,297989506;2,556640148
0;1,449739918;3,541377068
0;1,415558506;3,143258333
