Real;Pronostic
0;-58
0,05810547;4127
0,1166295;20290
0,2366071;163014
0,2988979;256664
0,3632813;361027
0,4301758;470920
0,5;540309
0,7048176;734083
0,8233083;856094
0,9255082;925018
1;978264
0;-411
0,007188109;10508
0,1677632;118657
0,2846004;261104
0,4014376;376494
0,5987654;562573
0,7160494;656893
0,8333333;770527
0,9938272;930656
1;970295
0;-365
0,007063153;10429
0,07075024;46471
0,1714744;109066
0,2896486;192898
0,5;378397
0,6889561;594029
0,7925544;690145
0,8869328;767520
1,002131;943286
1;970217
0;2203
-0,005955318;2267
0,02351974;11003
0,08048931;57740
0,1570175;109486
0,2451686;190069
0,4245957;390419
0,5;533780
0,5800778;617059
0,7825073;782142
0,8793975;898568
0,9564302;973435
1;979647
0,00592844;11352
0,06929781;46181
0,1702489;115951
0,2889224;210309
0,4054592;314026
0,5878131;527597
0,6896231;626960
0,7937549;696262
0,9622838;929481
1;965954
-0,003331003;839
0,03771618;8624
0,1114666;39551
0,2062451;100616
0,3103769;203053
0,4121869;312668
0,5943139;512938
0,7103513;605776
0,9292498;796713
0,9929368;910071
1;964210
0;903
-0,001056409;8409
0,04087535;57116
0,2085197;204390
0,3116406;330466
0,4125659;406165
0,5;548674
0,7110776;687566
0,9307022;905620
0,9940715;970908
1;981026
-0,002915452;1969
0,03676709;25591
0,1083576;61506
0,2011662;145583
0,4076774;313696
0,5;458989
0,6097777;572816
0,7493333;669673
0,884;767098
1;944341
0;2547
0,04221798;41572
0,1157883;109343
0,2094864;188845
0,4127271;374875
0,5;516238
0,7103513;672293
0,8285257;782884
0,9292498;897694
0,9929368;947680
1;973241
0;647
0,1144994;101416
0,3116406;289895
0,4125659;396625
0,5;516662
0,7110776;659997
0,9307022;909771
0,9940715;962417
1;970350
0;2246
0,00592844;14271
0,06929781;55834
0,1702489;132449
0,2889224;207398
0,5;418301
0,6883594;602441
0,7914802;705092
0,8855007;808300
0,9591247;919821
1,001056;955509
0;-266
0,04087535;82679
0,1144994;139844
0,2085197;236320
0,4125659;427659
0,5;538340
