Joint;Altura;Profundidad
0;1,144564092;3,611632586
0;1,33391045;3,508765697
0;1,363434017;3,7174716
0;1,283633247;3,61202383
0;1,251354307;3,990375996
0;1,317912802;3,505103588
0;1,42223385;3,581546307
