Real;Pronostic
0,03448242;24478
0,1060254;75080
0,144375;102410
0,2294531;156673
0,33;325171
0,4020313;420047
0,4945834;468690
0,5873438;517895
0,7625;503968
0,8078125;496500
0,8896875;500375
0,9640625;476836
1;492547
0;36746
0,02034375;56257
0,33;169606
0,4529524;269806
0,5086071;374240
0,6114881;382069
0,66;354986
0,7520313;273772
0,7956613;177257
0,8794057;173136
0,9200223;255332
1;278430
0;57358
0,03557782;59734
0,0874026;61598
0,2763956;162420
0,3794279;279648
0,4326455;361333
0,5457672;415469
0,66;483348
0,7724074;503171
0,8290625;506666
0,9429283;493755
0;35531
0,11525;105678
0,33;200571
0,5612381;358647
0,66;366986
0,7520313;453817
0,8380357;451760
0,9200223;518575
-0,01913108;34780
0,1478516;51599
0,2780616;139670
0,4207872;225952
0,5155627;351420
0,66;416104
0,7562683;420885
0,8047522;453963
0,9022012;472442
1;515257
0,002320001;66301
0,15024;121647
0,33;245980
0,46688;318870
0,6005067;364509
0,66;376591
0,766035;394873
0,8154957;421900
0,9095262;458273
1;493409
0,006718749;59464
0,1230366;82089
0,2698625;176053
0,435869;247796
0,547379;376224
0,66;512916
0,7160301;570176
0,8859259;567084
1;573474
0;26322
0,0305291;91812
0,2594577;247839
0,33;371297
0,46256;493231
0,66;496321
0,7143514;509435
0,8631778;493349
0,9549854;415771
0;32425
0,2030937;145508
0,33;202583
0,5644974;382288
0,6125066;451605
0,7068946;494832
0,7956613;504646
0,9601367;496289
0;27636
0,02318519;55190
0,2499769;281120
0,33;357205
0,66;435569
0,7089954;466447
0,7933062;522683
0,8934646;570846
0,92194;622428
0,9746816;611198
