Real;Pronostic
0;110346
0,2233125;67506
0,4365;38873
0,5035625;42196
0,6294375;54344
0,7418125;149257
0,8785;292825
0,9140625;325693
0,9679375;370649
0,9855;419240
1;465438
0;58340
0,04859259;49696
0,2592593;74935
0,352;142152
0,648;324947
0,7407407;355526
0,8245926;381770
0,9514074;416767
1;450605
0,1180758;65593
0,2915452;75015
0,5;170370
0,7084548;387878
0,8819242;384295
0,9854227;418095
0,01967593;53871
0,15625;50612
0,3761574;108150
0,6238426;201496
0,7407407;342069
0;59000
0,104;28004
0,1754074;51434
0,352;148987
0,5499259;352693
0,648;440901
0,8245926;486404
0,896;531261
0,9514074;547649
1;593509
0;50842
0,104;37928
0,1754074;50852
0,352;160120
0,5499259;353440
0,7407407;403351
0,896;441556
0,9872593;475745
1;488830
0;76642
0,104;49460
0,1754074;39809
0,352;121481
0,648;300158
0,7407407;342751
0,896;409849
0,9872593;439287
1;450303
0,01684115;25876
0,06372326;73701
0,2257624;188513
0,6700045;258094
0,7742376;303018
0,8648157;348124
0,9831588;451869
1;523401
0;23739
0,01967593;19630
0,2592593;83314
0,3761574;170628
0,7407407;383612
0,84375;428575
0,9803241;450851
0;49114
0,01457726;40359
0,1180758;39327
0,1982507;94283
0,2915452;162398
0,5;378951
0,606414;468768
0,8017493;487597
0,9446064;489013
1;505232
0;64313
0,08715252;87285
0,432006;354615
0,6994741;441316
0,9767092;483559
1;529748
0,01123047;227428
0,09228516;100995
0,15625;58730
0,4067383;148676
0,5;213308
0,5932617;386316
0,7680664;471011
0,9077148;500275
0;910807
0,01967593;868436
0,15625;741099
0,3761574;554386
0,9259259;580459
1;562728
0;46582
0,3005259;204105
0,6994741;333773
0,9128475;383476
0,9767092;422363
1;442392
0;172213
0,0309083;63416
0,1143024;35734
0,1713078;36951
0,236186;44742
0,3825631;93487
0,4605628;201109
0,5394372;307301
0,6928124;390004
0,8286923;389228
0,8856976;365124
0,9330806;353511
0,9919813;355314
1;454724
0,02329076;774506
0,1825695;702724
0,3005259;511600
0,6994741;547952
0,9128475;550203
1;558720
0;375595
0,01274074;186257
0,104;82490
0,2592593;209116
0,352;351584
0,4500741;459918
0,648;491375
0,8245926;497321
0,9872593;516718
1;514790
0;40513
0,04296875;43710
0,15625;52053
0,2319336;69264
0,4067383;181225
0,5932617;390553
0,6835938;409000
0,9077148;414201
0,9570313;415986
1;433179
0;15493
0,1180758;67541
0,2915452;148256
0,5;331794
0,7084548;444217
0,8819242;528589
1;624090
0;58440
0,04658152;92335
0,1014275;173865
0,2629602;361339
0,365139;454719
0,6010519;558260
0,730278;654469
1;712799
0;27139
0,03368229;33342
0,07373691;77114
0,1934456;190024
0,3568502;369242
0,5530269;417319
0,7710514;442430
1;464289
0;78539
0,02246094;43524
0,0859375;37889
0,1312256;44408
0,2452393;128629
0,3856201;222525
0,5465088;346898
0,7220459;440478
1;520373
0;107125
0,005737305;88158
0,1312256;68610
0,2452393;204652
0,3856201;382456
0,5465088;459872
0,7220459;502168
0,8134766;513586
1;564688
0;102668
0,004543896;109833
0,0685871;97345
0,1481481;96839
0,1974451;117239
0,3125;282375
0,3772291;388247
0,5185185;446185
0,59405;441576
0,7523148;499540
0,9167524;536030
1;566640
0;24960
0,02915452;42530
0,1685496;202584
0,3125;365981
0,5830904;650979
0,787172;769020
1;850163
0;25620
0,07373691;70900
0,1934456;158981
0,3568502;308315
0,4515248;342734
0,7710514;384010
0,884843;412929
1;424910
0;14310
0,1014275;76721
0,174305;110021
0,365139;271724
0,4785875;398649
0,6010519;457003
0,864012;562458
1;644082
0;20789
0,1014275;154383
0,2629602;274551
0,6010519;338415
0,864012;366403
1;452620
0;34762
0,03935185;15668
0,1481481;77579
0,3125;195448
0,6328125;318660
1;379014
0;31451
0,01202104;23311
0,1014275;49070
0,2629602;152951
0,864012;280560
1;337594
0,006518519;52864
0,02548148;53460
0,056;61347
0,09718519;67987
0,208;112072
0,3508148;250208
0,5185185;313676
0,704;366987
0,8011852;389087
1;470398
0;151223
0,07373691;100755
0,1934456;221529
0,3568502;363231
0,4515248;380384
0,6599909;390450
0,884843;381792
1;372440
0;51655
0,03935185;54393
0,0859375;66560
0,411169;342083
0,5185185;378550
0,7523148;420164
1;398986
0;24340
0,1215;83834
0,3125;226648
0,5635;375829
0,704;492099
1;525306
0;19691
0,008648156;34771
0,03368229;103100
0,1274465;224054
0,2703687;386273
0,4515248;462979
0,6599909;469037
1;517462
0;53196
0,03368229;32830
0,07373691;21407
0,1934456;98522
0,2703687;187236
0,3568502;286619
0,5530269;352156
0,6599909;377035
1;486785
0;40686
0,0859375;22346
0,1845703;117547
0,2452393;244019
0,3856201;403117
0,5465088;453759
0,8134766;433951
0,9063721;417185
0;46158
0,056;43594
0,1481481;27403
0,208;25375
0,3508148;160261
0,6094815;308518
0,704;344840
0,9001482;377146
1;407451
0;52165
0,06395773;65190
0,1685496;187444
0,2361516;249314
0,3965015;373058
0,5830904;384124
0,787172;405305
0,8930393;409832
1;438548
0;34059
0,005088541;34231
0,01994708;29265
0,07653165;36884
0,1170364;20325
0,2194179;42690
0,2800733;128909
0,4925707;316485
0,5715449;362390
0,7380419;402441
0,8243436;416501
1;439324
0;49474
0,02915452;35023
0,06395773;37155
0,1685496;97382
0,3965015;326965
0,5830904;393205
0,6834912;441529
0,787172;461210
1;444321
0;40283
0,02915452;35890
0,1107872;25860
0,2361516;80953
0,3965015;211276
0,4870627;346509
0,6834912;410819
0,8930393;465626
0,006518519;52197
0,02548148;75465
0,208;189552
0,3508148;294959
0,5185185;359225
0,6094815;394062
0,8011852;395116
0,9001482;385603
1;382706
0,02915452;155638
0,1685496;38253
0,3125;90856
0,4870627;164661
0,6834912;281072
0,8930393;302264
0,0036875;96035
0,0145;44160
0,056;39373
0,1215;38370
