EventIndex;TotalTime;RelativeTime;SkeletonId;Joint;Status;EuclideanDistance
161;8,6030836;0,2329149;7,20576E+16;WristRight;TRACKED;0,4223381
162;8,6701764;0,3000077;7,20576E+16;WristRight;TRACKED;0,5009732
172;9,1701783;0,034096;7,20576E+16;WristRight;TRACKED;0,006690075
173;9,2360795;0,0999972;7,20576E+16;WristRight;TRACKED;0,09967537
174;9,2701843;0,134102;7,20576E+16;WristRight;TRACKED;0,182913
175;9,3360899;0,2000076;7,20576E+16;WristRight;TRACKED;0,3858908
176;9,3702005;0,2341182;7,20576E+16;WristRight;TRACKED;0,4557003
177;9,4031088;0,2670265;7,20576E+16;WristRight;TRACKED;0,5605409
178;9,4701967;0,3341144;7,20576E+16;WristRight;TRACKED;0,6164269
179;9,5360769;0,3999946;7,20576E+16;WristRight;TRACKED;0,6098593
188;10,070185;0,0341057;7,20576E+16;WristRight;TRACKED;0,01508811
189;10,1030841;0,0670048;7,20576E+16;WristRight;TRACKED;0,05616285
190;10,1701632;0,1340839;7,20576E+16;WristRight;TRACKED;0,1603261
191;10,2030808;0,1670015;7,20576E+16;WristRight;TRACKED;0,2507873
192;10,2361083;0,200029;7,20576E+16;WristRight;TRACKED;0,2803216
193;10,3360772;0,2999979;7,20576E+16;WristRight;TRACKED;0,3639678
202;10,8031029;0,0665261;7,20576E+16;WristRight;TRACKED;0,03989976
203;10,8361123;0,0995355;7,20576E+16;WristRight;TRACKED;0,09687438
204;10,9361637;0,1995869;7,20576E+16;WristRight;TRACKED;0,3588305
205;10,9701854;0,2336086;7,20576E+16;WristRight;TRACKED;0,5153626
206;11,0030796;0,2665028;7,20576E+16;WristRight;TRACKED;0,5667874
207;11,1030963;0,3665195;7,20576E+16;WristRight;TRACKED;0,6553189
208;11,1702223;0,4336455;7,20576E+16;WristRight;TRACKED;0,6417688
209;11,2030725;0,4664957;7,20576E+16;WristRight;TRACKED;0,6673782
216;11,6701744;0,0340842;7,20576E+16;WristRight;TRACKED;0,01811774
217;11,7031204;0,0670302;7,20576E+16;WristRight;TRACKED;0,06069542
218;11,7701935;0,1341033;7,20576E+16;WristRight;TRACKED;0,177797
219;11,8702024;0,2341122;7,20576E+16;WristRight;TRACKED;0,3814279
230;12,5360969;0,0659168;7,20576E+16;WristRight;TRACKED;0,05621836
231;12,6031979;0,1330178;7,20576E+16;WristRight;TRACKED;0,1616701
232;12,670172;0,1999919;7,20576E+16;WristRight;TRACKED;0,3007237
233;12,7031111;0,232931;7,20576E+16;WristRight;TRACKED;0,3352295
234;12,7360834;0,2659033;7,20576E+16;WristRight;TRACKED;0,347032
241;13,2030871;0,0669984;7,20576E+16;WristRight;TRACKED;0,01355282
242;13,236082;0,0999933;7,20576E+16;WristRight;TRACKED;0,04137661
243;13,3031107;0,167022;7,20576E+16;WristRight;TRACKED;0,1802497
244;13,3702425;0,2341538;7,20576E+16;WristRight;TRACKED;0,3847998
245;13,4030785;0,2669898;7,20576E+16;WristRight;TRACKED;0,4571377
246;13,4701605;0,3340718;7,20576E+16;WristRight;TRACKED;0,670539
247;13,5361208;0,4000321;7,20576E+16;WristRight;TRACKED;0,7417911
257;14,1031071;0,1000167;7,20576E+16;WristRight;TRACKED;0,1016451
258;14,303074;0,2999836;7,20576E+16;WristRight;TRACKED;0,6969991
259;14,3360948;0,3330044;7,20576E+16;WristRight;TRACKED;0,6520698
260;14,3701726;0,3670822;7,20576E+16;WristRight;TRACKED;0,6955357
268;14,8360713;0,032986;7,20576E+16;WristRight;TRACKED;0,007625381
269;14,8701673;0,067082;7,20576E+16;WristRight;TRACKED;0,03974045
270;14,9360851;0,1329998;7,20576E+16;WristRight;TRACKED;0,1810184
271;15,0030694;0,1999841;7,20576E+16;WristRight;TRACKED;0,3713886
272;15,0360969;0,2330116;7,20576E+16;WristRight;TRACKED;0,474159
273;15,070164;0,2670787;7,20576E+16;WristRight;TRACKED;0,5683733
274;15,1030778;0,2999925;7,20576E+16;WristRight;TRACKED;0,5810625
275;15,1701734;0,3670881;7,20576E+16;WristRight;TRACKED;0,6832464
284;15,6360794;0,0658475;7,20576E+16;WristRight;TRACKED;0,02080109
285;15,6701568;0,0999249;7,20576E+16;WristRight;TRACKED;0,06497179
286;15,7030793;0,1328474;7,20576E+16;WristRight;TRACKED;0,1285435
287;15,8030594;0,2328275;7,20576E+16;WristRight;TRACKED;0,4056273
288;15,8360845;0,2658526;7,20576E+16;WristRight;TRACKED;0,5612296
289;15,8701604;0,2999285;7,20576E+16;WristRight;TRACKED;0,6778551
290;15,9361574;0,3659255;7,20576E+16;WristRight;TRACKED;0,7608606
291;15,9701591;0,3999272;7,20576E+16;WristRight;TRACKED;0,8054432
137;6,5528613;0,0329948;7,20576E+16;WristRight;TRACKED;0,01243319
138;6,6198651;0,0999986;7,20576E+16;WristRight;TRACKED;0,1122895
139;6,6528648;0,1329983;7,20576E+16;WristRight;TRACKED;0,1831333
141;6,7529822;0,2331157;7,20576E+16;WristRight;TRACKED;0,3529912
142;6,8198722;0,3000057;7,20576E+16;WristRight;TRACKED;0,4192487
143;6,8528714;0,3330049;7,20576E+16;WristRight;TRACKED;0,3895412
152;7,3198663;0,0328922;7,20576E+16;WristRight;TRACKED;0,005875233
153;7,3869644;0,0999903;7,20576E+16;WristRight;TRACKED;0,09336374
154;7,4198566;0,1328825;7,20576E+16;WristRight;TRACKED;0,1668361
155;7,4869748;0,2000007;7,20576E+16;WristRight;TRACKED;0,3727538
156;7,5528604;0,2658863;7,20576E+16;WristRight;TRACKED;0,5431496
157;7,5869441;0,29997;7,20576E+16;WristRight;TRACKED;0,5887791
158;7,6199174;0,3329433;7,20576E+16;WristRight;TRACKED;0,6279593
169;8,2198584;0,066975;7,20576E+16;WristRight;TRACKED;0,04321554
170;8,286979;0,1340956;7,20576E+16;WristRight;TRACKED;0,163085
171;8,3199401;0,1670567;7,20576E+16;WristRight;TRACKED;0,2392487
172;8,3869449;0,2340615;7,20576E+16;WristRight;TRACKED;0,3431017
173;8,4528744;0,299991;7,20576E+16;WristRight;TRACKED;0,4026993
174;8,4869601;0,3340767;7,20576E+16;WristRight;TRACKED;0,413324
184;8,9869367;0,0670766;7,20576E+16;WristRight;TRACKED;0,04357056
185;9,020272;0,1004119;7,20576E+16;WristRight;TRACKED;0,1118516
186;9,052874;0,1330139;7,20576E+16;WristRight;TRACKED;0,204128
187;9,1198593;0,1999992;7,20576E+16;WristRight;TRACKED;0,404909
188;9,1869501;0,26709;7,20576E+16;WristRight;TRACKED;0,5371445
189;9,2198589;0,2999988;7,20576E+16;WristRight;TRACKED;0,5633156
190;9,286957;0,3670969;7,20576E+16;WristRight;TRACKED;0,5952299
202;9,8198683;0,0669994;7,20576E+16;WristRight;TRACKED;0,07385375
203;9,8869522;0,1340833;7,20576E+16;WristRight;TRACKED;0,21564
204;9,9529028;0,2000339;7,20576E+16;WristRight;TRACKED;0,3743856
205;9,9869499;0,234081;7,20576E+16;WristRight;TRACKED;0,4144696
206;10,0198543;0,2669854;7,20576E+16;WristRight;TRACKED;0,4803456
217;10,5528716;0,032989;7,20576E+16;WristRight;TRACKED;0,01215935
218;10,6198735;0,0999909;7,20576E+16;WristRight;TRACKED;0,1075297
219;10,6869589;0,1670763;7,20576E+16;WristRight;TRACKED;0,3008119
221;10,7528635;0,2329809;7,20576E+16;WristRight;TRACKED;0,475192
222;10,8198605;0,2999779;7,20576E+16;WristRight;TRACKED;0,6111289
223;10,886939;0,3670564;7,20576E+16;WristRight;TRACKED;0,6324632
235;11,4198625;0,0999791;7,20576E+16;WristRight;TRACKED;0,09420665
236;11,4528563;0,1329729;7,20576E+16;WristRight;TRACKED;0,2004015
237;11,5198719;0,1999885;7,20576E+16;WristRight;TRACKED;0,412049
238;11,5528525;0,2329691;7,20576E+16;WristRight;TRACKED;0,4854754
239;11,5869822;0,2670988;7,20576E+16;WristRight;TRACKED;0,6255838
240;11,6198559;0,2999725;7,20576E+16;WristRight;TRACKED;0,6426653
241;11,6528595;0,3329761;7,20576E+16;WristRight;TRACKED;0,6146278
242;11,7198521;0,3999687;7,20576E+16;WristRight;TRACKED;0,6695106
251;12,1869418;0,0340594;7,20576E+16;WristRight;TRACKED;0,01740786
253;12,2869379;0,1340555;7,20576E+16;WristRight;TRACKED;0,2181613
254;12,319921;0,1670386;7,20576E+16;WristRight;TRACKED;0,3200194
257;12,419883;0,2670006;7,20576E+16;WristRight;TRACKED;0,5217672
258;12,4528563;0,2999739;7,20576E+16;WristRight;TRACKED;0,5204225
259;12,5198577;0,3669753;7,20576E+16;WristRight;TRACKED;0,5318985
270;13,0869539;0,1670894;7,20576E+16;WristRight;TRACKED;0,3430248
272;13,18693;0,2670655;7,20576E+16;WristRight;TRACKED;0,6534308
273;13,2528825;0,333018;7,20576E+16;WristRight;TRACKED;0,7707765
284;13,7869404;0,0670786;7,20576E+16;WristRight;TRACKED;0,02776356
285;13,8198697;0,1000079;7,20576E+16;WristRight;TRACKED;0,082509
286;13,8528758;0,133014;7,20576E+16;WristRight;TRACKED;0,140867
288;13,9528759;0,2330141;7,20576E+16;WristRight;TRACKED;0,5067203
289;13,9869406;0,2670788;7,20576E+16;WristRight;TRACKED;0,6320863
290;14,0528648;0,333003;7,20576E+16;WristRight;TRACKED;0,6918365
132;6,741002;0,0670092;7,20576E+16;WristRight;TRACKED;0,03545693
133;6,7740129;0,1000201;7,20576E+16;WristRight;TRACKED;0,08122998
134;6,8409865;0,1669937;7,20576E+16;WristRight;TRACKED;0,2078992
135;6,9080523;0,2340595;7,20576E+16;WristRight;TRACKED;0,3276813
136;6,9739814;0,2999886;7,20576E+16;WristRight;TRACKED;0,427752
148;7,5739971;0,0330241;7,20576E+16;WristRight;TRACKED;0,01095518
149;7,6409741;0,1000011;7,20576E+16;WristRight;TRACKED;0,09230821
150;7,7080761;0,1671031;7,20576E+16;WristRight;TRACKED;0,1888197
151;7,74098;0,200007;7,20576E+16;WristRight;TRACKED;0,251013
152;7,8080654;0,2670924;7,20576E+16;WristRight;TRACKED;0,3244475
153;7,8410001;0,3000271;7,20576E+16;WristRight;TRACKED;0,331782
162;8,3739945;0,0659286;7,20576E+16;WristRight;TRACKED;0,04040483
163;8,4080553;0,0999894;7,20576E+16;WristRight;TRACKED;0,08644458
164;8,4739833;0,1659174;7,20576E+16;WristRight;TRACKED;0,2270727
165;8,5080612;0,1999953;7,20576E+16;WristRight;TRACKED;0,3072973
166;8,5409808;0,2329149;7,20576E+16;WristRight;TRACKED;0,393065
167;8,6080818;0,3000159;7,20576E+16;WristRight;TRACKED;0,4930283
168;8,6409907;0,3329248;7,20576E+16;WristRight;TRACKED;0,4985619
169;8,7080668;0,4000009;7,20576E+16;WristRight;TRACKED;0,4969968
177;9,1409858;0,0670112;7,20576E+16;WristRight;TRACKED;0,01191667
178;9,1739992;0,1000246;7,20576E+16;WristRight;TRACKED;0,03610324
179;9,2080604;0,1340858;7,20576E+16;WristRight;TRACKED;0,09204529
180;9,2739939;0,2000193;7,20576E+16;WristRight;TRACKED;0,2134977
181;9,3410226;0,267048;7,20576E+16;WristRight;TRACKED;0,3777559
182;9,3739818;0,3000072;7,20576E+16;WristRight;TRACKED;0,4399499
183;9,4080865;0,3341119;7,20576E+16;WristRight;TRACKED;0,50727
194;9,9740293;0,0330335;7,20576E+16;WristRight;TRACKED;0,005328138
195;10,040973;0,0999772;7,20576E+16;WristRight;TRACKED;0,07407647
196;10,1080936;0,1670978;7,20576E+16;WristRight;TRACKED;0,2067951
197;10,1739948;0,232999;7,20576E+16;WristRight;TRACKED;0,3276029
198;10,2080585;0,2670627;7,20576E+16;WristRight;TRACKED;0,3981616
199;10,2739939;0,3329981;7,20576E+16;WristRight;TRACKED;0,4232098
200;10,3080864;0,3670906;7,20576E+16;WristRight;TRACKED;0,4438249
209;10,8409914;0,1000094;7,20576E+16;WristRight;TRACKED;0,09594369
211;10,9409885;0,2000065;7,20576E+16;WristRight;TRACKED;0,3169194
212;10,9740082;0,2330262;7,20576E+16;WristRight;TRACKED;0,3756813
213;11,0410756;0,3000936;7,20576E+16;WristRight;TRACKED;0,4613707
214;11,1080921;0,3671101;7,20576E+16;WristRight;TRACKED;0,5455437
223;11,608117;0,0670346;7,20576E+16;WristRight;TRACKED;0,03085526
